Search_Query,Place_Name,Nickname,Date,Review_Content
고바치,,릴로66,4.20.월,아이들도 딸기 듬뿍 올려진 프렌치 토스트 너무 잘먹었어요 음료도 너무 맛잇었던 다른 메뉴도 먹어보러 또가고 싶어요! 감자 너무 순딩이🥹아이들 무례에도 반겨주던👍🏻까페 마스코트 맞네여 또보러 가야듸😚 날씨가 흐려도 너무 예뻣구 밖에서도 먹어보고싶어요! 예스키즈존이래도 아이들 식기랑 다갖춰진댄 못봤는데🩷 사장님 배려심이 더돋보이는 공간이었어요! 사장님께서도 너무 친절🥰하세요
고바치,,찌니쮸,4.19.일,아이랑 반려동물이랑 같이 갔는데 뷰가.. 너무 이뻤어요 거기다가 강아지는 목줄 해서 들어와도 된다고 해서 들어 왔답니다 아기의자가 있어서 최고였어요!! 사장님이 바나나랑 딸기릉 아이꺼랑 강어지꺼까지 챙겨쥬셔서…최고 프렌치토스트는 방문 하면 꼭 드셔보세요 빵이 말랑말랑 한게 엄청 맛있는게 소스가 대박이예요👍🏻
고바치,,포하항스,4.9.목,"뷰가 너무 좋아요!!! 고바치의 풍경과 디저트가 함께라면 바로 힐링 가능합니다. 진짜루. 제주 자연을 그대로 느낄 수 있어서 더 좋았고, 여유를 느끼고 싶을 때 방문하는거 추천드립니다.👍  카페는 화이트 톤 인테리어로 깔끔하고 감성적인 분위기이구요, 사장님도 정말 친절하셔서 기분 좋게 머물 수 있었어요. 커피도 맛있고 브런치 메뉴도 다양해서 선택의 폭이 넓은 점도 좋았습니당!  만족도가 높아서 재방문 의사 100%입니당! 분위기 좋은 카페 찾는 분들께 추천드려요!🫶"
고바치,,mju****,3.25.수,늦은 점심을 위해 찾은 고바치 카페 역쒸 최고당~~~^^ 오늘같이 햇살 가득한 날씨에 딱 맞는 분위기에 크루와상 샌드위치와 아보카도&바나나 ... 넘 환상적인 조합이네ㅎㅎ 오늘은 고바치 카페 덕분에 최고의 컨디션으로 하루를 보낼수 있을거 같네~~~♡♡ 사랑해요~~~~ 고바치^^~
고바치,,MIIING,3.18.수,커피 맛집 & 뷰 맛집 & 사진 맛집  커피 진짜 맛있어요 ㅠㅠ 2층에서 보는 한라산뷰 정말 최고입니다 ! 막 찍어도 사진 무조건 잘 나옵니다 👍
고바치,,댕삼쀼,3.16.월,지나가다 들렸는데 인테리어도 너무 이쁘고 깔끔하네요! 음료도 넘 맛있어용!! 다음에는 커피 먹으러 올께용💜
고바치,,쇼비맙,2.24.화,제주살이 시작하자마자 바로 온 카페! 오랜만에 가도 조용하고 비가 와서 그런지 분위기가 더더 좋았어요! 뭐 마실지 고민하다 사장님이 추천한 카페 모카 마셨는데 정말 맛있었어요!! 브런치 냄새가 너무 좋아서 다음엔 브런치 먹어봐야 겠어요!!
고바치,,mju****,2.19.목,매번 올때마다 브런치 즐기기 너무 좋네요 . 햇살이 잘 들어와서 사진찍기도 좋습니다 말차라떼를 항상 테이크아웃을 하는데 진짜 맛있어용
고바치,,보일먼,2.9.월,"음식 맛있고, 조용하고 화장실 깨끗하고 사장님 친절하셔용 ⭐️⭐️⭐️⭐️⭐️"
고바치,,쿄우쿄우,2.1.일,분위기 좋아요 🎶 아메리카노 산미없고 맛있어요 !! 강아지도 넘 귀엽답니당 딸기라떼는 엄청 달지 않아서 맛있어요
알돈가,,hya****,4.21.화,항상 최고예요 !! 풍미가 최상인 고기에 매번 감탄입니다^^
알돈가,,깨비의먹방기록,4.21.화,흑삼겹살 흑목살 김치찌개 솥밥 주문했고 계란찜이나 강된장중에 하나 기본으로 주세요! 펜션바베큐처럼 숯불에 굽는 식이라 굽는 스킬이 아주 중요한데 사장님이 샤샤샤샥 구워주시니 받아서 맛있게 먹기만 하면 돼요! 흑삼겹살 비계 쫀득하니 너무 맛있고 처음에 껍데기도 서비스로 같이 주시는데 너무 맛있어요 상추깻잎 다 직접 키우신다는데 진짜 싱싱하고 정성 가득인게 느껴지더라고요 김치찌개랑 솥밥 하나하나 존맛이니 꼭 와서 먹어보세요!! 주의할 점은 서울과 달리 1인분 양이 진짜 많아요 둘이서 먹느라 배 터질뻔🫶
알돈가,,blu****,4.20.월,제즈도 놀러와서 알돈가로 고기 먹으러 왔는데 고기가 너무 맛있습니다. 그릭고 새우 전복 찌게 등등 구성이 너무 알차요~~ 제주도 또 놀로오묜 재방문 해야 겠어요~~
알돈가,,지망생90,4.20.월,"고기 양이 적나,,,? 라고 생각했지만 정~말 다양한 구성과 양에 결국은 배 터지도록 먹었습니다~~!!  추가로 직접 추천해주시는 도민 맛집들까지~! 친절함과 맛 모두 잡은 가게~! 우연히 왔는데 좋은곳 알고가네요~!!! 강력추천!!!"
알돈가,,용용33,4.19.일,"신화월드에서 10분거리! 고기 신선하고 고소하니 맛있어요. 셀프바에 셀프바도 엄청 깔끔하고 사장님도 친절하셔용. 고사리도 있어서 너무 잘 먹었어요. 장도 직접 담그시는지 쌈장도 시판쌈장이 아니네요👍🏻공기밥도 갓 한 밥 느낌이고, 김치찌개도 맛있게 먹었습니다. 사장님도 너무 친절하시고 제주여행 마지막 날 기분좋고 맛있게 먹고 갑니다🩶 신화월드 내에서도 해결 가능했지만 차타고 잠깐 나오니 가성비 갑입니다!! 추천✨"
